data,campanha_id,campanha_nome,canal,objetivo,dispositivo,segmento_publico,investimento,impressoes,cliques,ctr,conversoes,receita,cpc,cpa,roas
2025-01-12,C005,Google Display - Tráfego,Google Ads,trafego,Desktop,Remarketing,34.93,650,20,0.0308,0,0.0,1.75,,0.0
2025-01-13,C001,Google Search - Marca,Google Ads,leads,Desktop,Remarketing,84.27,551,21,0.0381,1,0.0,4.01,84.27,0.0
2025-01-13,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Lookalike,45.7,853,23,0.027,0,0.0,1.99,,0.0
2025-01-14,C001,Google Search - Marca,Google Ads,leads,Mobile,Lookalike,77.12,466,16,0.0343,1,0.0,4.82,77.12,0.0
2025-01-14,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Remarketing,44.31,524,23,0.0439,0,0.0,1.93,,0.0
2025-01-15,C001,Google Search - Marca,Google Ads,leads,Mobile,Lookalike,92.09,563,18,0.032,1,0.0,5.12,92.09,0.0
2025-01-15,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Desktop,Lookalike,50.4,3049,43,0.0141,1,148.76,1.17,50.4,2.95
2025-01-15,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Lookalike,39.58,751,25,0.0333,0,0.0,1.58,,0.0
2025-01-16,C001,Google Search - Marca,Google Ads,leads,Mobile,Remarketing,85.22,697,25,0.0359,1,0.0,3.41,85.22,0.0
2025-01-16,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Desktop,Interesses,60.17,3992,45,0.0113,1,109.48,1.34,60.17,1.82
2025-01-16,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Lookalike,42.64,511,16,0.0313,0,0.0,2.66,,0.0
2025-01-17,C001,Google Search - Marca,Google Ads,leads,Mobile,Busca ativa,97.33,546,20,0.0366,1,0.0,4.87,97.33,0.0
2025-01-17,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Geral,56.8,2840,46,0.0162,1,175.38,1.23,56.8,3.09
2025-01-17,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Lookalike,54.9,573,26,0.0454,0,0.0,2.11,,0.0
2025-01-18,C001,Google Search - Marca,Google Ads,leads,Desktop,Busca ativa,51.05,601,16,0.0266,1,0.0,3.19,51.05,0.0
2025-01-18,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Desktop,Busca ativa,45.58,3580,44,0.0123,1,192.69,1.04,45.58,4.23
2025-01-18,C005,Google Display - Tráfego,Google Ads,trafego,Desktop,Lookalike,38.3,790,32,0.0405,0,0.0,1.2,,0.0
2025-01-19,C001,Google Search - Marca,Google Ads,leads,Desktop,Busca ativa,59.25,354,14,0.0395,1,0.0,4.23,59.25,0.0
2025-01-19,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Lookalike,29.69,1896,24,0.0127,1,107.32,1.24,29.69,3.61
2025-01-19,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Busca ativa,37.6,827,25,0.0302,0,0.0,1.5,,0.0
2025-01-20,C001,Google Search - Marca,Google Ads,leads,Mobile,Interesses,88.82,766,24,0.0313,2,0.0,3.7,44.41,0.0
2025-01-20,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Busca ativa,55.44,4769,54,0.0113,1,133.86,1.03,55.44,2.41
2025-01-20,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Geral,33.09,411,16,0.0389,0,0.0,2.07,,0.0
2025-01-21,C001,Google Search - Marca,Google Ads,leads,Desktop,Interesses,97.8,701,21,0.03,1,0.0,4.66,97.8,0.0
2025-01-21,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Desktop,Interesses,47.96,3231,35,0.0108,1,173.64,1.37,47.96,3.62
2025-01-21,C005,Google Display - Tráfego,Google Ads,trafego,Desktop,Remarketing,44.08,772,23,0.0298,0,0.0,1.92,,0.0
2025-01-22,C001,Google Search - Marca,Google Ads,leads,Mobile,Busca ativa,95.14,516,21,0.0407,1,0.0,4.53,95.14,0.0
2025-01-22,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Interesses,49.23,6443,60,0.0093,2,247.58,0.82,24.62,5.03
2025-01-22,C005,Google Display - Tráfego,Google Ads,trafego,Desktop,Busca ativa,59.91,1169,33,0.0282,0,0.0,1.82,,0.0
2025-01-23,C001,Google Search - Marca,Google Ads,leads,Mobile,Busca ativa,94.47,508,20,0.0394,1,0.0,4.72,94.47,0.0
2025-01-23,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Busca ativa,73.2,7705,93,0.0121,2,315.59,0.79,36.6,4.31
2025-01-23,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Busca ativa,51.01,780,23,0.0295,0,0.0,2.22,,0.0
2025-01-24,C001,Google Search - Marca,Google Ads,leads,Mobile,Remarketing,75.59,677,19,0.0281,1,0.0,3.98,75.59,0.0
2025-01-24,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Remarketing,35.43,1866,28,0.015,1,191.69,1.27,35.43,5.41
2025-01-24,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Geral,44.18,563,19,0.0337,0,0.0,2.33,,0.0
2025-01-25,C001,Google Search - Marca,Google Ads,leads,Desktop,Remarketing,75.52,711,18,0.0253,1,0.0,4.2,75.52,0.0
2025-01-25,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Desktop,Geral,37.53,4467,57,0.0128,2,268.86,0.66,18.76,7.16
2025-01-25,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Busca ativa,43.08,818,24,0.0293,0,0.0,1.8,,0.0
2025-01-26,C001,Google Search - Marca,Google Ads,leads,Mobile,Remarketing,89.49,378,13,0.0344,1,0.0,6.88,89.49,0.0
2025-01-26,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Lookalike,37.78,2765,35,0.0127,1,227.13,1.08,37.78,6.01
2025-01-26,C005,Google Display - Tráfego,Google Ads,trafego,Desktop,Interesses,32.4,429,14,0.0326,0,0.0,2.31,,0.0
2025-01-27,C001,Google Search - Marca,Google Ads,leads,Mobile,Lookalike,95.32,826,25,0.0303,1,0.0,3.81,95.32,0.0
2025-01-27,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Desktop,Remarketing,71.6,4175,49,0.0117,1,156.18,1.46,71.6,2.18
2025-01-27,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Remarketing,51.69,708,25,0.0353,0,0.0,2.07,,0.0
2025-01-28,C001,Google Search - Marca,Google Ads,leads,Desktop,Geral,93.57,773,21,0.0272,1,0.0,4.46,93.57,0.0
2025-01-28,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Busca ativa,56.22,4182,48,0.0115,1,115.11,1.17,56.22,2.05
2025-01-28,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Remarketing,39.49,682,22,0.0323,0,0.0,1.8,,0.0
2025-01-29,C001,Google Search - Marca,Google Ads,leads,Desktop,Geral,90.39,459,15,0.0327,1,0.0,6.03,90.39,0.0
2025-01-29,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Lookalike,44.68,3868,39,0.0101,1,162.51,1.15,44.68,3.64
2025-01-29,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Lookalike,47.71,1104,27,0.0245,0,0.0,1.77,,0.0
2025-01-30,C001,Google Search - Marca,Google Ads,leads,Desktop,Lookalike,77.64,474,20,0.0422,1,0.0,3.88,77.64,0.0
2025-01-30,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Desktop,Lookalike,60.79,5470,69,0.0126,2,308.07,0.88,30.4,5.07
2025-01-30,C005,Google Display - Tráfego,Google Ads,trafego,Tablet,Lookalike,46.32,667,23,0.0345,0,0.0,2.01,,0.0
2025-01-31,C001,Google Search - Marca,Google Ads,leads,Mobile,Geral,78.15,445,15,0.0337,1,0.0,5.21,78.15,0.0
2025-01-31,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Lookalike,64.34,6079,63,0.0104,2,309.09,1.02,32.17,4.8
2025-01-31,C005,Google Display - Tráfego,Google Ads,trafego,Desktop,Geral,35.97,521,14,0.0269,0,0.0,2.57,,0.0
2025-02-01,C001,Google Search - Marca,Google Ads,leads,Desktop,Geral,71.98,695,18,0.0259,1,0.0,4.0,71.98,0.0
2025-02-01,C002,Google Search - Genérico,Google Ads,leads,Desktop,Interesses,47.23,339,11,0.0324,1,0.0,4.29,47.23,0.0
2025-02-01,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Desktop,Busca ativa,46.74,1900,29,0.0153,1,183.17,1.61,46.74,3.92
2025-02-01,C005,Google Display - Tráfego,Google Ads,trafego,Tablet,Interesses,30.53,463,15,0.0324,0,0.0,2.04,,0.0
2025-02-02,C001,Google Search - Marca,Google Ads,leads,Mobile,Remarketing,82.98,579,18,0.0311,1,0.0,4.61,82.98,0.0
2025-02-02,C002,Google Search - Genérico,Google Ads,leads,Desktop,Interesses,57.71,291,10,0.0344,1,0.0,5.77,57.71,0.0
2025-02-02,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Busca ativa,38.8,4288,41,0.0096,1,125.25,0.95,38.8,3.23
2025-02-02,C005,Google Display - Tráfego,Google Ads,trafego,Desktop,Busca ativa,34.89,772,26,0.0337,0,0.0,1.34,,0.0
2025-02-03,C001,Google Search - Marca,Google Ads,leads,Mobile,Busca ativa,83.44,447,15,0.0336,1,0.0,5.56,83.44,0.0
2025-02-03,C002,Google Search - Genérico,Google Ads,leads,Mobile,Interesses,62.45,348,12,0.0345,1,0.0,5.2,62.45,0.0
2025-02-03,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Remarketing,49.39,2464,26,0.0106,1,121.71,1.9,49.39,2.46
2025-02-03,C005,Google Display - Tráfego,Google Ads,trafego,Desktop,Remarketing,43.89,1582,40,0.0253,0,0.0,1.1,,0.0
2025-02-04,C001,Google Search - Marca,Google Ads,leads,Mobile,Busca ativa,72.11,561,22,0.0392,2,0.0,3.28,36.06,0.0
2025-02-04,C002,Google Search - Genérico,Google Ads,leads,Desktop,Busca ativa,67.75,411,15,0.0365,1,0.0,4.52,67.75,0.0
2025-02-04,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Busca ativa,59.94,5844,68,0.0116,1,245.81,0.88,59.94,4.1
2025-02-04,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Geral,39.54,870,23,0.0264,0,0.0,1.72,,0.0
2025-02-05,C001,Google Search - Marca,Google Ads,leads,Tablet,Remarketing,106.94,1143,31,0.0271,2,0.0,3.45,53.47,0.0
2025-02-05,C002,Google Search - Genérico,Google Ads,leads,Desktop,Busca ativa,66.03,452,19,0.042,1,0.0,3.48,66.03,0.0
2025-02-05,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Tablet,Interesses,58.28,9911,95,0.0096,3,703.74,0.61,19.43,12.08
2025-02-05,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Lookalike,38.98,770,26,0.0338,0,0.0,1.5,,0.0
2025-02-06,C001,Google Search - Marca,Google Ads,leads,Mobile,Remarketing,86.99,610,20,0.0328,2,0.0,4.35,43.5,0.0
2025-02-06,C002,Google Search - Genérico,Google Ads,leads,Mobile,Lookalike,53.19,432,15,0.0347,1,0.0,3.55,53.19,0.0
2025-02-06,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Desktop,Interesses,60.1,4988,42,0.0084,1,192.32,1.43,60.1,3.2
2025-02-06,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Remarketing,47.42,902,27,0.0299,0,0.0,1.76,,0.0
2025-02-07,C001,Google Search - Marca,Google Ads,leads,Mobile,Busca ativa,59.8,478,13,0.0272,1,0.0,4.6,59.8,0.0
2025-02-07,C002,Google Search - Genérico,Google Ads,leads,Desktop,Lookalike,66.91,384,14,0.0365,1,0.0,4.78,66.91,0.0
2025-02-07,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Interesses,41.52,3483,37,0.0106,1,154.64,1.12,41.52,3.72
2025-02-07,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Lookalike,43.7,1070,29,0.0271,0,0.0,1.51,,0.0
2025-02-08,C001,Google Search - Marca,Google Ads,leads,Mobile,Interesses,61.01,443,11,0.0248,1,0.0,5.55,61.01,0.0
2025-02-08,C002,Google Search - Genérico,Google Ads,leads,Mobile,Busca ativa,45.54,522,18,0.0345,1,0.0,2.53,45.54,0.0
2025-02-08,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Desktop,Busca ativa,45.95,3923,41,0.0105,1,93.56,1.12,45.95,2.04
2025-02-08,C005,Google Display - Tráfego,Google Ads,trafego,Desktop,Geral,34.31,576,18,0.0312,0,0.0,1.91,,0.0
2025-02-09,C001,Google Search - Marca,Google Ads,leads,Tablet,Geral,59.04,394,14,0.0355,1,0.0,4.22,59.04,0.0
2025-02-09,C002,Google Search - Genérico,Google Ads,leads,Desktop,Geral,50.05,327,12,0.0367,1,0.0,4.17,50.05,0.0
2025-02-09,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Lookalike,43.04,2835,36,0.0127,1,91.18,1.2,43.04,2.12
2025-02-09,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Interesses,31.35,438,14,0.032,0,0.0,2.24,,0.0
2025-02-10,C001,Google Search - Marca,Google Ads,leads,Mobile,Geral,82.16,706,21,0.0297,1,0.0,3.91,82.16,0.0
2025-02-10,C002,Google Search - Genérico,Google Ads,leads,Mobile,Geral,74.95,498,19,0.0382,1,0.0,3.94,74.95,0.0
2025-02-10,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Lookalike,58.74,4438,54,0.0122,2,403.56,1.09,29.37,6.87
2025-02-10,C005,Google Display - Tráfego,Google Ads,trafego,Desktop,Interesses,43.61,823,28,0.034,0,0.0,1.56,,0.0
2025-02-11,C001,Google Search - Marca,Google Ads,leads,Desktop,Remarketing,84.44,426,18,0.0423,2,0.0,4.69,42.22,0.0
2025-02-11,C002,Google Search - Genérico,Google Ads,leads,Desktop,Interesses,72.68,532,16,0.0301,1,0.0,4.54,72.68,0.0
2025-02-11,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Geral,39.07,2146,28,0.013,1,140.42,1.4,39.07,3.59
2025-02-11,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Busca ativa,38.87,635,24,0.0378,0,0.0,1.62,,0.0
2025-02-12,C001,Google Search - Marca,Google Ads,leads,Mobile,Lookalike,78.94,897,25,0.0279,2,0.0,3.16,39.47,0.0
2025-02-12,C002,Google Search - Genérico,Google Ads,leads,Desktop,Lookalike,71.64,555,20,0.036,1,0.0,3.58,71.64,0.0
2025-02-12,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Interesses,70.27,6686,71,0.0106,3,547.75,0.99,23.42,7.79
2025-02-12,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Busca ativa,31.43,923,21,0.0228,0,0.0,1.5,,0.0
2025-02-13,C001,Google Search - Marca,Google Ads,leads,Desktop,Geral,73.66,975,29,0.0297,1,0.0,2.54,73.66,0.0
2025-02-13,C002,Google Search - Genérico,Google Ads,leads,Mobile,Busca ativa,91.15,680,28,0.0412,2,0.0,3.26,45.58,0.0
2025-02-13,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Desktop,Geral,60.27,4054,45,0.0111,1,168.36,1.34,60.27,2.79
2025-02-13,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Interesses,30.63,515,14,0.0272,0,0.0,2.19,,0.0
2025-02-14,C001,Google Search - Marca,Google Ads,leads,Desktop,Lookalike,107.65,1023,27,0.0264,2,0.0,3.99,53.82,0.0
2025-02-14,C002,Google Search - Genérico,Google Ads,leads,Desktop,Lookalike,68.28,426,14,0.0329,1,0.0,4.88,68.28,0.0
2025-02-14,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Lookalike,51.52,3479,43,0.0124,1,121.04,1.2,51.52,2.35
2025-02-14,C005,Google Display - Tráfego,Google Ads,trafego,Desktop,Remarketing,36.59,621,21,0.0338,0,0.0,1.74,,0.0
2025-02-15,C001,Google Search - Marca,Google Ads,leads,Mobile,Interesses,79.16,949,24,0.0253,2,0.0,3.3,39.58,0.0
2025-02-15,C002,Google Search - Genérico,Google Ads,leads,Desktop,Geral,45.71,355,10,0.0282,1,0.0,4.57,45.71,0.0
2025-02-15,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Desktop,Geral,42.37,4388,45,0.0103,2,302.26,0.94,21.18,7.13
2025-02-15,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Busca ativa,29.35,686,22,0.0321,0,0.0,1.33,,0.0
2025-02-16,C001,Google Search - Marca,Google Ads,leads,Mobile,Geral,48.94,378,12,0.0317,1,0.0,4.08,48.94,0.0
2025-02-16,C002,Google Search - Genérico,Google Ads,leads,Tablet,Lookalike,50.26,431,12,0.0278,1,0.0,4.19,50.26,0.0
2025-02-16,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Lookalike,46.16,3600,35,0.0097,1,226.97,1.32,46.16,4.92
2025-02-16,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Lookalike,33.07,518,17,0.0328,0,0.0,1.95,,0.0
2025-02-17,C001,Google Search - Marca,Google Ads,leads,Mobile,Remarketing,87.46,635,18,0.0283,1,0.0,4.86,87.46,0.0
2025-02-17,C002,Google Search - Genérico,Google Ads,leads,Tablet,Remarketing,70.41,253,12,0.0474,1,0.0,5.87,70.41,0.0
2025-02-17,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Desktop,Remarketing,43.93,3535,32,0.0091,1,226.08,1.37,43.93,5.15
2025-02-17,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Lookalike,41.79,598,20,0.0334,0,0.0,2.09,,0.0
2025-02-18,C001,Google Search - Marca,Google Ads,leads,Mobile,Interesses,74.74,581,18,0.031,1,0.0,4.15,74.74,0.0
2025-02-18,C002,Google Search - Genérico,Google Ads,leads,Desktop,Lookalike,70.84,452,16,0.0354,1,0.0,4.43,70.84,0.0
2025-02-18,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Desktop,Remarketing,53.48,3832,39,0.0102,1,219.24,1.37,53.48,4.1
2025-02-18,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Lookalike,41.2,602,21,0.0349,0,0.0,1.96,,0.0
2025-02-19,C001,Google Search - Marca,Google Ads,leads,Desktop,Busca ativa,78.48,532,16,0.0301,1,0.0,4.9,78.48,0.0
2025-02-19,C002,Google Search - Genérico,Google Ads,leads,Mobile,Busca ativa,54.18,468,17,0.0363,1,0.0,3.19,54.18,0.0
2025-02-19,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Busca ativa,49.75,5983,54,0.009,1,212.84,0.92,49.75,4.28
2025-02-19,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Interesses,37.94,1078,34,0.0315,0,0.0,1.12,,0.0
2025-02-20,C001,Google Search - Marca,Google Ads,leads,Mobile,Lookalike,79.5,460,18,0.0391,2,0.0,4.42,39.75,0.0
2025-02-20,C002,Google Search - Genérico,Google Ads,leads,Tablet,Remarketing,68.82,384,13,0.0339,1,0.0,5.29,68.82,0.0
2025-02-20,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Lookalike,41.14,2310,30,0.013,1,184.57,1.37,41.14,4.49
2025-02-20,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Remarketing,45.64,781,19,0.0243,0,0.0,2.4,,0.0
2025-02-21,C001,Google Search - Marca,Google Ads,leads,Mobile,Remarketing,62.58,357,11,0.0308,1,0.0,5.69,62.58,0.0
2025-02-21,C002,Google Search - Genérico,Google Ads,leads,Mobile,Interesses,85.18,451,17,0.0377,1,0.0,5.01,85.18,0.0
2025-02-21,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Geral,56.13,5370,59,0.011,1,204.43,0.95,56.13,3.64
2025-02-21,C005,Google Display - Tráfego,Google Ads,trafego,Desktop,Geral,34.78,575,21,0.0365,0,0.0,1.66,,0.0
2025-02-22,C001,Google Search - Marca,Google Ads,leads,Desktop,Busca ativa,63.53,528,13,0.0246,1,0.0,4.89,63.53,0.0
2025-02-22,C002,Google Search - Genérico,Google Ads,leads,Desktop,Busca ativa,56.48,311,11,0.0354,0,0.0,5.13,,0.0
2025-02-22,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Interesses,33.3,4801,49,0.0102,1,110.2,0.68,33.3,3.31
2025-02-22,C005,Google Display - Tráfego,Google Ads,trafego,Desktop,Interesses,21.71,541,12,0.0222,0,0.0,1.81,,0.0
2025-02-23,C001,Google Search - Marca,Google Ads,leads,Desktop,Busca ativa,52.81,424,12,0.0283,1,0.0,4.4,52.81,0.0
2025-02-23,C002,Google Search - Genérico,Google Ads,leads,Desktop,Geral,45.58,217,8,0.0369,1,0.0,5.7,45.58,0.0
2025-02-23,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Lookalike,37.1,4015,39,0.0097,1,207.13,0.95,37.1,5.58
2025-02-23,C005,Google Display - Tráfego,Google Ads,trafego,Desktop,Lookalike,26.29,597,17,0.0285,0,0.0,1.55,,0.0
2025-02-24,C001,Google Search - Marca,Google Ads,leads,Mobile,Interesses,44.86,332,10,0.0301,1,0.0,4.49,44.86,0.0
2025-02-24,C002,Google Search - Genérico,Google Ads,leads,Mobile,Lookalike,57.07,393,13,0.0331,1,0.0,4.39,57.07,0.0
2025-02-24,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Tablet,Geral,43.41,3335,36,0.0108,1,199.6,1.21,43.41,4.6
2025-02-24,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Interesses,22.11,500,15,0.03,0,0.0,1.47,,0.0
2025-02-25,C001,Google Search - Marca,Google Ads,leads,Mobile,Interesses,75.84,578,13,0.0225,1,0.0,5.83,75.84,0.0
2025-02-25,C002,Google Search - Genérico,Google Ads,leads,Mobile,Remarketing,72.59,577,20,0.0347,1,0.0,3.63,72.59,0.0
2025-02-25,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Busca ativa,56.05,7096,42,0.0059,2,85.71,1.33,28.02,1.53
2025-02-25,C005,Google Display - Tráfego,Google Ads,trafego,Desktop,Remarketing,34.49,746,21,0.0282,0,0.0,1.64,,0.0
2025-02-26,C001,Google Search - Marca,Google Ads,leads,Desktop,Geral,71.0,723,20,0.0277,2,0.0,3.55,35.5,0.0
2025-02-26,C002,Google Search - Genérico,Google Ads,leads,Mobile,Remarketing,66.43,483,15,0.0311,1,0.0,4.43,66.43,0.0
2025-02-26,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Interesses,49.11,6615,58,0.0088,2,187.06,0.85,24.56,3.81
2025-02-26,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Geral,35.49,529,19,0.0359,0,0.0,1.87,,0.0
2025-02-27,C001,Google Search - Marca,Google Ads,leads,Desktop,Interesses,83.64,464,17,0.0366,1,0.0,4.92,83.64,0.0
2025-02-27,C002,Google Search - Genérico,Google Ads,leads,Mobile,Remarketing,47.11,419,13,0.031,1,0.0,3.62,47.11,0.0
2025-02-27,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Lookalike,50.62,5767,55,0.0095,1,218.98,0.92,50.62,4.33
2025-02-27,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Geral,35.2,725,20,0.0276,0,0.0,1.76,,0.0
2025-02-28,C001,Google Search - Marca,Google Ads,leads,Mobile,Interesses,67.41,579,15,0.0259,1,0.0,4.49,67.41,0.0
2025-02-28,C002,Google Search - Genérico,Google Ads,leads,Mobile,Interesses,66.86,370,12,0.0324,1,0.0,5.57,66.86,0.0
2025-02-28,C003,Meta - Remarketing Vendas,Meta Ads,vendas,Mobile,Lookalike,47.46,3859,48,0.0124,1,252.19,0.99,47.46,5.31
2025-02-28,C005,Google Display - Tráfego,Google Ads,trafego,Mobile,Lookalike,36.49,791,19,0.024,0,0.0,1.92,,0.0
2025-03-01,C001,Google Search - Marca,Google Ads,leads,Mobile,Busca ativa,51.04,281,9,0.032,1,0.0,5.67,51.04,0.0
2025-03-01,C002,Google Search - Genérico,Google Ads,leads,Desktop,Busca ativa,64.47,1203,27,0.0224,1,0.0,2.39,64.47,0.0
